1,37.64
2,37.63
3,37.38
4,37.31
5,37.38
6,37.81
7,37.79
8,37.62
9,37.62
10,37.49
11,37.03
12,37.25
13,37.2
14,37.93
15,37.85
16,37.51
17,37.28
18,35.79
19,36.26
20,36.28
21,35.27
22,33.5
23,32.67
24,32.88
25,32.91
26,33.51
27,33.4
28,33.71
29,33.9
30,34.15
